Nome Controladora;Código Operadora;Nome Operadora;Nome Garagem;Data Operação;Código Interno Linha;Nome Linha;Código Externo Linha;Num Terminal;Passageiros;Catraca Pendente;KM Percorrido;Inteiras;Valor Inteiras;Quant VT Papel;Valor VT Papel;Gratuidade;Estudantes;Valor Estudantes;VT;Valor VT;VT Integração;Valor VT Integração;Passagens;Valor Passagens;Passagens Integração;Valor Passagens Integração;Viagem Programada;Viagem Realizada;EStudantes Integração;Valor Estudantes Integração;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;287;CONDER / JARDIM EUROPA / JOÃO DURVAL;BRT2;0;0;0;280,499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;287;CONDER / JARDIM EUROPA / JOÃO DURVAL;BRT2;1;2388;0;513,507;238;1309;0;0;545;419;1047,5;950;4892,5;8;0;226;1163,9;1;0;0;0;1;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;287;CONDER / JARDIM EUROPA / JOÃO DURVAL;BRT2;2;1409;0;528,632;136;748;0;0;287;271;677,5;388;1998,2;173;0;87;448,05;38;0;0;0;29;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;6;CIDADE NOVA / CIS / AV. JOAO DURVAL / BOULEVARD;002;0;0;0;31,628;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;6;CIDADE NOVA / CIS / AV. JOAO DURVAL / BOULEVARD;002;1;245;0;101,639;18;99;0;0;55;34;85;83;427,45;14;0;13;66,95;4;0;0;0;24;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;6;CIDADE NOVA / CIS / AV. JOAO DURVAL / BOULEVARD;002;2;309;0;176,558;24;132;0;0;87;31;77,5;89;458,35;38;0;24;123,6;6;0;0;0;10;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;8;UEFS DIRETA VIA TERMINAL NORTE / TERMINAL CENTRAL;003;0;0;0;45,944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;8;UEFS DIRETA VIA TERMINAL NORTE / TERMINAL CENTRAL;003;1;903;0;188,842;73;401,5;0;0;152;370;925;248;1277,2;4;0;52;267,8;2;0;0;0;2;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;8;UEFS DIRETA VIA TERMINAL NORTE / TERMINAL CENTRAL;003;2;618;0;187,086;31;170,5;0;0;119;153;382,5;84;432,6;71;0;21;108,15;16;0;0;0;123;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;13;CIDADE NOVA / TERMINAL CENTRAL;010;0;0;0;56,074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;13;CIDADE NOVA / TERMINAL CENTRAL;010;1;589;0;212,536;64;352;0;0;157;75;187,5;212;1091,8;9;0;61;314,15;6;0;0;0;5;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;13;CIDADE NOVA / TERMINAL CENTRAL;010;2;222;0;128,609;26;143;0;0;58;16;40;49;252,35;44;0;10;51,5;10;0;0;0;9;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;336;CIDADE NOVA-CIS VIA JOÃO DURVAL / UEFS;02A;0;0;0;5,956;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;336;CIDADE NOVA-CIS VIA JOÃO DURVAL / UEFS;02A;1;385;0;125,159;27;148,5;0;0;46;59;147,5;145;746,75;43;0;46;236,9;13;0;0;0;6;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;336;CIDADE NOVA-CIS VIA JOÃO DURVAL / UEFS;02A;2;269;0;50,742;14;77;0;0;26;59;147,5;82;422,3;29;0;39;200,85;11;0;0;0;9;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;47;SAO JOSE VIA CARRO QUEBRADO;050;0;0;0;9,927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;47;SAO JOSE VIA CARRO QUEBRADO;050;1;165;0;49,121;16;88;0;0;12;5;12,5;103;530,45;5;0;24;123,6;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;47;SAO JOSE VIA CARRO QUEBRADO;050;2;13;0;30,242;2;11;0;0;2;0;0;1;5,15;6;0;2;10,3;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;48;CANDEAL / PRAÇA DO TROPEIRO;051;0;0;0;42,857;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;48;CANDEAL / PRAÇA DO TROPEIRO;051;1;288;0;175,002;55;302,5;0;0;66;31;77,5;84;432,6;0;0;52;267,8;0;0;0;0;0;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;48;CANDEAL / PRAÇA DO TROPEIRO;051;2;164;0;92,268;36;198;0;0;41;12;30;39;200,85;15;0;8;41,2;9;0;0;0;4;0;
 ;19;EMPRESA DE ONIBUS ROSA LTDA;PORTO DA VITORIA;19/09/2025;49;CANDEIA GROSSA / JACU - VIA ALECRIM;052;0;0;0;44,532;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
